prod_id,ages,piece_count,set_name,prod_desc,prod_long_desc,theme_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
60177,5-12,0.5002075556346225,Airshow Jet,blah,blahblah,City,AT,12.1878,0.11737590318674407,0.9345358308985776,Easy,0.8968723271151999,1.0
60052,6-12,0.7604041262402182,Cargo Train,blah,blahblah,City,AT,219.5878,0.6020542268143428,0.9615546500799727,Average,0.8748757251374245,0.8294828004351504
60162,8-12,0.798701938913806,Jungle Air Drop Helicopter,blah,blahblah,City,AT,158.58780000000004,0.0,1.0,Average,1.0,0.8613531161467861
60051,6-12,0.7183445209558255,High-speed Passenger Train,blah,blahblah,City,AT,146.3878,0.6446112173506126,0.9205726604783713,Average,0.8748757251374245,0.8613531161467861
60141,6-12,0.7611583768175924,Police Station,blah,blahblah,City,AT,121.9878,0.38991431045882424,0.891668149608153,Easy,0.9394358849288731,0.8613531161467861
60110,6-12,0.7642475353226503,Fire Station,blah,blahblah,City,AT,121.9878,0.4695036127469763,0.9345358308985776,Average,0.9183854479300276,0.9481920934663796
60161,8-12,0.7505206646037188,Jungle Exploration Site,blah,blahblah,City,AT,121.9878,0.3034123082260103,0.9345358308985776,Average,0.852373410105524,0.8613531161467861
60167,6-12,0.7475895047609122,Coast Guard Head Quarters,blah,blahblah,City,AT,121.9878,0.18603640503926622,0.7418257388175704,Average,0.7052760484448038,0.7418257388175704
60188,7-12,0.7597716808134984,Mining Experts Site,blah,blahblah,City,AT,109.7878,0.0,1.0,unknown,1.0,1.0
60174,6-12,0.7276763988436122,Mountain Police Headquarters,blah,blahblah,City,AT,97.5878,0.35212770956023215,0.9205726604783713,Average,0.9183854479300276,0.8613531161467861
60169,6-12,0.7399830566972833,Cargo Terminal,blah,blahblah,City,AT,85.3878,0.23475180637348814,1.0,Average,1.0,0.906288469676671
60140,5-12,0.7089653745394857,Bulldozer Break-in,blah,blahblah,City,AT,73.1878,0.37207281007853243,0.8456222775796745,Easy,0.593290327824262,0.7958889470453636
60160,7-12,0.6781322467171255,Jungle Mobile Lab,blah,blahblah,City,AT,60.9878,0.18603640503926622,0.9615546500799727,Average,1.0,0.9615546500799727
60166,6-12,0.675202082795587,Heavy-duty Rescue Helicopter,blah,blahblah,City,AT,60.9878,0.35212770956023215,0.9205726604783713,Challenging,0.8748757251374245,0.8613531161467861
60173,5-12,0.6399711423203714,Mountain Arrest,blah,blahblah,City,AT,60.9878,0.11737590318674407,0.9345358308985776,Average,0.7815853973131623,0.569323441926607
60153,5-12,0.5745783452477093,People pack – Fun at the beach,blah,blahblah,City,AT,48.7878,0.38991431045882424,0.906288469676671,Very Easy,0.8057547140443089,0.7958889470453636
60139,6-12,0.6635509358109491,Mobile Command Center,blah,blahblah,City,AT,48.7878,0.38991431045882424,0.8456222775796745,Easy,0.7815853973131623,0.7418257388175704
60175,5-12,0.6673780498715912,Mountain River Heist,blah,blahblah,City,AT,48.7878,,0.9345358308985776,unknown,0.9183854479300276,0.906288469676671
60154,5-12,0.6518829718018022,Bus Station,blah,blahblah,City,AT,48.7878,0.4695036127469763,0.7958889470453636,Easy,0.593290327824262,0.6171420253845629
60186,5-12,0.6365938275352073,Mining Heavy Driller,blah,blahblah,City,AT,48.7878,0.0,0.8613531161467861,Average,1.0,0.8613531161467861
